timestamp,source_port,destination_port,protocol,length,traffic_direction,packet_rate,data_rate,is_encrypted,destination_device,name,malicious,cpu_usage,memory_usage,disk_usage,network_traffic_in,network_traffic_out,risk_score
2024-08-26T12:02:08.000000Z,63169,57064,UDP,1379,inbound,403,329602,False,Windows server,DDoS,1,96.31,92.3,77.12,4438,4580,8.35
2024-08-26T12:01:41.000000Z,62736,48939,UDP,1416,inbound,210,419443,True,Windows server,DDoS,1,77.85,99.08,70.12,3809,2915,7.65
2024-08-26T12:09:04.000000Z,56493,40198,TCP,1401,inbound,495,486405,False,Linux server,DDoS,1,92.01,84.92,80.78,4681,4613,8.25
2024-08-26T12:04:49.000000Z,42939,36644,TCP,1536,outbound,426,225118,True,Windows server,DDoS,1,77.65,78.78,91.8,3824,4178,7.65
2024-08-26T12:01:59.000000Z,14643,5186,TCP,1075,outbound,269,224628,True,Windows server,DDoS,1,83.76,84.93,83.33,3768,3545,8.0
2024-08-26T12:00:02.000000Z,63789,37820,TCP,1452,outbound,187,400264,False,Linux server,DDoS,1,76.73,85.58,83.1,4933,4960,7.75
2024-08-26T12:09:03.000000Z,54736,45196,TCP,639,outbound,482,313985,False,Windows server,DDoS,1,71.51,74.59,79.19,2986,2612,7.05
2024-08-26T12:04:18.000000Z,9303,55387,UDP,1071,inbound,264,467052,False,Linux server,DDoS,1,95.27,75.66,75.48,4874,3321,7.95
2024-08-26T12:01:56.000000Z,15587,16524,UDP,686,outbound,303,281104,False,Linux server,DDoS,1,70.25,86.1,73.0,3254,2291,7.45
2024-08-26T12:01:43.000000Z,31079,21234,TCP,522,inbound,409,174209,True,Linux server,DDoS,1,82.36,98.27,96.84,4086,2482,8.1
2024-08-26T12:05:21.000000Z,33944,62882,UDP,1318,outbound,208,305398,False,Linux server,DDoS,1,82.58,84.56,94.33,3103,2150,7.9
2024-08-26T12:03:11.000000Z,5023,10210,TCP,1980,inbound,374,277499,True,Windows server,DDoS,1,95.38,93.21,82.89,3632,3946,8.45
2024-08-26T12:07:15.000000Z,5535,1586,TCP,1684,inbound,349,203150,True,Windows server,DDoS,1,90.95,73.1,88.28,2494,3630,7.85
2024-08-26T12:05:56.000000Z,59958,23307,TCP,1884,outbound,178,234988,True,Linux server,DDoS,1,86.92,87.25,71.79,2094,2419,7.5
2024-08-26T12:04:55.000000Z,54670,9390,TCP,666,outbound,292,466611,False,Windows server,DDoS,1,70.07,79.31,80.1,2323,3754,7.35
2024-08-26T12:09:00.000000Z,50335,3150,TCP,894,inbound,435,110414,False,Linux server,DDoS,1,85.19,97.82,92.88,2355,3022,8.1
2024-08-26T12:04:55.000000Z,44787,46801,TCP,1118,outbound,418,283959,False,Linux server,DDoS,1,83.71,86.81,80.3,4216,2587,7.8
2024-08-26T12:03:09.000000Z,56148,49923,TCP,1311,outbound,437,187176,True,Linux server,DDoS,1,84.41,70.63,79.74,4934,3029,7.7
2024-08-26T12:01:41.000000Z,24832,38072,UDP,1338,inbound,188,354785,False,Linux server,DDoS,1,83.9,96.98,91.97,2808,3064,8.1
2024-08-26T12:03:53.000000Z,46294,43757,UDP,1409,inbound,319,461786,False,Linux server,DDoS,1,79.5,99.37,74.7,4526,3682,7.85
2024-08-26T12:02:50.000000Z,17573,52754,UDP,1458,inbound,494,129050,True,Linux server,DDoS,1,77.61,75.69,82.26,3138,4688,7.55
2024-08-26T12:09:32.000000Z,43085,12288,UDP,1084,inbound,137,213094,False,Windows server,DDoS,1,70.87,90.84,98.19,3022,3415,8.05
2024-08-26T12:05:29.000000Z,31270,64251,UDP,1258,outbound,132,418275,True,Linux server,DDoS,1,74.19,70.86,78.68,3056,3373,7.45
2024-08-26T12:07:09.000000Z,29303,45368,TCP,1354,outbound,106,270085,False,Windows server,DDoS,1,77.35,80.1,84.79,3947,3440,7.75
2024-08-26T12:06:56.000000Z,25108,5624,UDP,1859,outbound,231,127561,True,Windows server,DDoS,1,85.21,75.71,92.23,2599,3790,7.7
2024-08-26T12:06:13.000000Z,28880,49688,TCP,1567,outbound,165,189933,False,Windows server,DDoS,1,93.13,99.3,77.39,4339,4161,8.35
2024-08-26T12:07:40.000000Z,41092,60232,UDP,520,inbound,310,226830,True,Windows server,DDoS,1,71.38,81.05,91.12,3711,4836,7.85
2024-08-26T12:02:23.000000Z,51361,43886,UDP,642,outbound,132,413497,True,Windows server,DDoS,1,91.73,88.7,70.45,2529,2778,7.75
2024-08-26T12:03:24.000000Z,38874,38237,TCP,629,inbound,367,393992,True,Linux server,DDoS,1,70.95,91.86,70.51,2660,2221,7.45
2024-08-26T12:08:40.000000Z,32981,46874,UDP,1103,inbound,353,125637,False,Linux server,DDoS,1,74.87,75.13,81.17,4115,4959,7.55
2024-08-26T12:04:04.000000Z,11964,19703,UDP,959,outbound,281,130446,False,Windows server,DDoS,1,93.09,73.56,86.54,2166,4172,7.85
2024-08-26T12:01:22.000000Z,4579,58203,UDP,1354,outbound,408,319381,False,Windows server,DDoS,1,95.66,79.34,84.99,3055,2449,7.85
2024-08-26T12:07:41.000000Z,30227,20207,UDP,975,inbound,367,234108,False,Linux server,DDoS,1,71.39,94.16,92.04,2483,3576,7.85
2024-08-26T12:07:31.000000Z,64077,9326,UDP,1951,inbound,207,368200,False,Linux server,DDoS,1,91.0,78.2,80.02,2971,4273,7.85
2024-08-26T12:02:32.000000Z,19604,60449,TCP,1388,outbound,354,273077,True,Linux server,DDoS,1,91.45,99.95,91.18,2832,2981,8.15
2024-08-26T12:01:26.000000Z,5003,9970,TCP,1591,outbound,341,473148,False,Linux server,DDoS,1,82.1,91.1,78.54,2896,3121,7.9
2024-08-26T12:04:11.000000Z,24009,47844,TCP,1760,inbound,187,374427,False,Windows server,DDoS,1,79.07,90.72,80.43,3041,4367,7.95
2024-08-26T12:00:30.000000Z,45524,56589,UDP,574,inbound,265,453458,True,Windows server,DDoS,1,70.65,93.43,93.79,2625,4505,7.85
2024-08-26T12:04:32.000000Z,62286,41853,TCP,1636,outbound,108,268749,False,Linux server,DDoS,1,75.82,74.11,85.43,2473,2967,7.15
2024-08-26T12:07:35.000000Z,29566,46838,TCP,1496,outbound,145,145837,True,Windows server,DDoS,1,77.36,92.2,90.33,4415,3836,8.05
2024-08-26T12:01:13.000000Z,58585,31505,TCP,652,outbound,219,106380,False,Linux server,DDoS,1,83.31,72.86,75.7,2022,4840,7.5
2024-08-26T12:00:08.000000Z,32158,15960,TCP,692,outbound,381,430554,True,Windows server,DDoS,1,72.17,99.75,78.64,4049,3715,7.85
2024-08-26T12:09:20.000000Z,25912,34248,TCP,1267,inbound,248,496975,False,Windows server,DDoS,1,86.16,79.91,98.38,3515,3694,7.9
2024-08-26T12:00:04.000000Z,6533,1489,UDP,1424,inbound,324,183807,True,Windows server,DDoS,1,76.91,94.69,70.94,3231,2130,7.65
2024-08-26T12:07:38.000000Z,44153,6044,UDP,1471,inbound,225,163070,True,Linux server,DDoS,1,75.23,91.32,80.76,4053,3224,7.95
2024-08-26T12:00:27.000000Z,10940,30851,UDP,957,inbound,436,110299,False,Linux server,DDoS,1,89.8,76.55,93.77,3567,4993,7.9
2024-08-26T12:06:50.000000Z,32523,5033,TCP,1306,outbound,157,223519,True,Windows server,DDoS,1,83.98,78.85,82.28,3466,4825,7.8
2024-08-26T12:02:21.000000Z,22042,5386,UDP,1860,outbound,359,232405,False,Linux server,DDoS,1,83.22,89.02,93.99,4427,3257,8.1
2024-08-26T12:06:46.000000Z,50802,41459,UDP,702,outbound,119,155030,True,Windows server,DDoS,1,98.16,76.63,90.87,2940,2834,7.75
2024-08-26T12:00:08.000000Z,60815,5234,TCP,1872,outbound,389,347622,False,Linux server,DDoS,1,96.2,87.71,92.42,4101,3107,8.35
2024-08-26T12:08:25.000000Z,39043,58440,UDP,1011,outbound,301,247739,False,Windows server,DDoS,1,76.33,96.32,99.39,3433,4045,8.05
2024-08-26T12:05:24.000000Z,1928,60676,UDP,870,inbound,488,457146,True,Windows server,DDoS,1,84.84,81.53,99.54,4746,3217,8.1
2024-08-26T12:04:45.000000Z,41903,39402,TCP,935,outbound,151,189425,True,Windows server,DDoS,1,87.28,86.33,94.58,3808,4079,8.1
2024-08-26T12:07:45.000000Z,53101,51198,UDP,1067,outbound,429,165790,False,Windows server,DDoS,1,72.35,81.74,86.65,3738,4248,7.75
2024-08-26T12:01:04.000000Z,40204,63463,UDP,1357,inbound,204,370339,True,Linux server,DDoS,1,79.34,85.56,82.72,3351,4742,7.75
